"United States","6531"
"United Kingdom","1746"
"Australia","1223"
"Canada","1204"
"Germany","927"
"Italy","856"
"France","730"
"Netherlands","704"
"Spain","632"
"China","327"
"Belgium","315"
"Russian Federation","298"
"Sweden","264"
"Israel","234"
"Norway","222"
"Switzerland","217"
"New Zealand","195"
"Poland","184"
"Hong Kong","176"
"Brazil","175"
"Portugal","163"
"Turkey","162"
"Denmark","160"
"Pakistan","157"
"Taiwan","151"
"Finland","147"
"Japan","142"
"Austria","140"
"South Korea","129"
"Mexico","108"
"Czech Republic","99"
"Colombia","97"
"India","95"
"South Africa","95"
"Chile","93"
"Ireland","92"
"Singapore","82"
"Argentina","80"
"Iran","75"
"Greece","65"
"Tunisia","47"
"Hungary","45"
"Malaysia","38"
"Slovakia","38"
"Lebanon","33"
"Cyprus","29"
"Romania","28"
"Saudi Arabia","26"
"Indonesia","22"
"Nigeria","22"
"Croatia","21"
"Egypt","20"
"Uganda","20"
"United Arab Emirates","20"
"Estonia","19"
"Macao","19"
"Thailand","19"
"Bulgaria","18"
"Ghana","18"
"Iceland","17"
"Bangladesh","15"
"Georgia","15"
"Lithuania","15"
"Philippines","14"
"Serbia","14"
"Slovenia","13"
"Ukraine","13"
"Luxembourg","11"
"Oman","11"
"Jordan","10"
"Peru","10"
"Costa Rica","9"
"Morocco","9"
"Ecuador","8"
"Kenya","7"
"Puerto Rico","7"
"Malta","6"
"Qatar","6"
"Uruguay","6"
"Cuba","5"
"Kuwait","5"
"Uzbekistan","5"
"Armenia","4"
"Dominican Republic","4"
"Ethiopia","4"
"Guatemala","4"
"Botswana","3"
"Burkina Faso","3"
"Latvia","3"
"Nauru","3"
"Nepal","3"
"Sri Lanka","3"
"Togo","3"
"Venezuela","3"
"Afghanistan","2"
"Algeria","2"
"Azerbaijan","2"
"Bosnia and Herzegovina","2"
"Cambodia","2"
"Iraq","2"
"Kazakhstan","2"
"Martinique","2"
"Moldova","2"
"Senegal","2"
"Viet Nam","2"
"Zimbabwe","2"
"Bahamas","1"
"Bahrain","1"
"Benin","1"
"Bhutan","1"
"Bolivia","1"
"Burundi","1"
"Congo","1"
"Cote d'Ivoire","1"
"Gabon","1"
"Greenland","1"
"Guadeloupe","1"
"Haiti","1"
"Honduras","1"
"Jamaica","1"
"Kyrgyzstan","1"
"Laos","1"
"Libyan Arab Jamahiriya","1"
"Madagascar","1"
"Monaco","1"
"Mozambique","1"
"Myanmar","1"
"New Caledonia","1"
"Nicaragua","1"
"North Macedonia","1"
"Palestine","1"
"Rwanda","1"
"Suriname","1"
"Swaziland","1"
"Tajikistan","1"
"Trinidad and Tobago","1"
"Turkmenistan","1"
"Undefined","853"
